Order_ID,Order_Date,Month,Customer_ID,Customer_Name,Brand,Product_Name,City,State,Region,Channel,Gender,Age_Group,Payment_Method,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Sales,Profit
MS202402902,2024-01-01,2024-01,CUST04904,Customer_07923,OnePlus,Nord CE 4,Indore,Madhya Pradesh,West,Online,Male,18-25,UPI,4,25300.0,2,2024.0,99176.0,16947.58
MS202416560,2024-01-01,2024-01,CUST13367,Customer_03174,Vivo,V30,Mumbai,Maharashtra,West,Online,Female,46-55,Credit Card,1,31800.0,5,1590.0,30210.0,4915.96
MS202449532,2024-01-01,2024-01,CUST03283,Customer_01928,Realme,GT 6,Hyderabad,Telangana,South,Online,Male,26-35,Cash,1,34400.0,20,6880.0,27520.0,2959.88
MS202415270,2024-01-01,2024-01,CUST24461,Customer_09488,Apple,iPhone 15,Hyderabad,Telangana,South,Online,Male,26-35,EMI,2,64700.0,5,6470.0,122930.0,25665.64
MS202409187,2024-01-01,2024-01,CUST15149,Customer_19958,Xiaomi,Poco F6,Bengaluru,Karnataka,South,Online,Male,36-45,UPI,1,28900.0,8,2312.0,26588.0,2166.45
MS202415714,2024-01-01,2024-01,CUST24749,Customer_05760,Vivo,Y28,Surat,Gujarat,West,Retail Store,Female,46-55,UPI,2,13200.0,8,2112.0,24288.0,3402.94
MS202443613,2024-01-01,2024-01,CUST02977,Customer_09619,OnePlus,OnePlus 12R,Hyderabad,Telangana,South,Online,Female,18-25,Credit Card,1,42200.0,8,3376.0,38824.0,6236.68
MS202426863,2024-01-01,2024-01,CUST14468,Customer_13952,Samsung,Galaxy S24,Kochi,Kerala,South,Online,Male,18-25,EMI,1,78500.0,8,6280.0,72220.0,5171.44
MS202411883,2024-01-01,2024-01,CUST19234,Customer_04935,Samsung,Galaxy A15,Indore,Madhya Pradesh,West,Retail Store,Female,46-55,Credit Card,1,16900.0,5,845.0,16055.0,2473.92
MS202449131,2024-01-01,2024-01,CUST23411,Customer_23123,Xiaomi,Poco F6,Bhubaneswar,Odisha,East,Online,Male,18-25,Credit Card,4,30800.0,2,2464.0,120736.0,15626.75
MS202410047,2024-01-01,2024-01,CUST23676,Customer_11730,OnePlus,OnePlus 13R,Bhubaneswar,Odisha,East,Retail Store,Male,26-35,Credit Card,5,41300.0,2,4130.0,202370.0,32274.39
MS202436084,2024-01-01,2024-01,CUST09329,Customer_10011,Realme,Realme 12,Bhubaneswar,Odisha,East,Online,Male,36-45,UPI,3,18100.0,0,0.0,54300.0,7853.0
MS202426950,2024-01-01,2024-01,CUST22143,Customer_11141,Motorola,Moto G54,Ahmedabad,Gujarat,West,Retail Store,Male,56+,Credit Card,1,15700.0,5,785.0,14915.0,2356.63
MS202402604,2024-01-01,2024-01,CUST06844,Customer_12890,Samsung,Galaxy M35,Indore,Madhya Pradesh,West,Online,Female,46-55,UPI,1,21900.0,10,2190.0,19710.0,3472.51
MS202448159,2024-01-01,2024-01,CUST18164,Customer_08639,Samsung,Galaxy S24,Ahmedabad,Gujarat,West,Online,Male,56+,Credit Card,1,74100.0,5,3705.0,70395.0,10849.48
MS202439054,2024-01-01,2024-01,CUST12150,Customer_15696,Apple,iPhone 13,Ranchi,Jharkhand,East,Online,Male,26-35,Credit Card,1,53600.0,15,8040.0,45560.0,6993.74
MS202426008,2024-01-01,2024-01,CUST23089,Customer_07515,Xiaomi,Poco F6,Pune,Maharashtra,West,Online,Female,26-35,Debit Card,1,30500.0,8,2440.0,28060.0,3081.39
MS202442631,2024-01-01,2024-01,CUST00364,Customer_16913,Apple,iPhone 13,Bhopal,Madhya Pradesh,West,Online,Male,26-35,EMI,1,51700.0,5,2585.0,49115.0,8245.09
MS202439720,2024-01-01,2024-01,CUST17725,Customer_09472,OnePlus,OnePlus 12R,Coimbatore,Tamil Nadu,South,Online,Male,26-35,EMI,1,37800.0,10,3780.0,34020.0,5413.65
MS202434145,2024-01-01,2024-01,CUST17323,Customer_00336,Motorola,Razr 50,Hyderabad,Telangana,South,Distributor,Male,46-55,UPI,1,74000.0,15,11100.0,62900.0,4708.21
MS202409907,2024-01-01,2024-01,CUST11574,Customer_19309,Samsung,Galaxy A15,Chandigarh,Chandigarh,North,Online,Male,36-45,Credit Card,3,18200.0,12,6552.0,48048.0,5348.77
MS202421932,2024-01-01,2024-01,CUST00948,Customer_08424,Samsung,Galaxy M35,Bhopal,Madhya Pradesh,West,Retail Store,Female,18-25,Debit Card,1,22000.0,5,1100.0,20900.0,2329.46
MS202422738,2024-01-01,2024-01,CUST01836,Customer_13910,Realme,C55,Bhopal,Madhya Pradesh,West,Retail Store,Male,26-35,UPI,1,11600.0,0,0.0,11600.0,1515.68
MS202407007,2024-01-01,2024-01,CUST08187,Customer_24359,Samsung,Galaxy M35,Bhopal,Madhya Pradesh,West,Online,Female,46-55,Credit Card,2,21600.0,12,5184.0,38016.0,4920.6
MS202403626,2024-01-01,2024-01,CUST03941,Customer_13727,iQOO,13,Ahmedabad,Gujarat,West,Retail Store,Male,26-35,EMI,3,59200.0,5,8880.0,168720.0,25433.76
MS202422613,2024-01-01,2024-01,CUST11738,Customer_08660,Samsung,Galaxy M15,Delhi,Delhi,North,Retail Store,Male,26-35,Credit Card,1,16500.0,5,825.0,15675.0,1768.31
MS202408125,2024-01-01,2024-01,CUST08197,Customer_05902,Xiaomi,Redmi 13C,Bengaluru,Karnataka,South,Online,Male,46-55,UPI,1,9300.0,10,930.0,8370.0,612.21
MS202447227,2024-01-01,2024-01,CUST09651,Customer_06425,Realme,Realme 13 Pro,Jaipur,Rajasthan,North,Retail Store,Male,26-35,EMI,2,25800.0,15,7740.0,43860.0,2798.79
MS202444066,2024-01-01,2024-01,CUST03522,Customer_02089,Xiaomi,Redmi Note 13,Gurugram,Haryana,North,Retail Store,Female,26-35,UPI,1,14200.0,8,1136.0,13064.0,1296.05
MS202407795,2024-01-01,2024-01,CUST24969,Customer_20869,Samsung,Galaxy S24,Chandigarh,Chandigarh,North,Online,Male,18-25,UPI,1,77500.0,0,0.0,77500.0,7144.52
MS202417188,2024-01-01,2024-01,CUST11529,Customer_22536,Motorola,Edge 50 Fusion,Indore,Madhya Pradesh,West,Retail Store,Male,46-55,Debit Card,3,22300.0,8,5352.0,61548.0,7588.16
MS202439539,2024-01-01,2024-01,CUST05413,Customer_09380,Xiaomi,Redmi Note 13,Coimbatore,Tamil Nadu,South,Distributor,Female,36-45,UPI,2,15400.0,20,6160.0,24640.0,1453.73
MS202433726,2024-01-01,2024-01,CUST07325,Customer_03833,Oppo,A3x,Mumbai,Maharashtra,West,Retail Store,Female,36-45,Credit Card,2,11900.0,8,1904.0,21896.0,2284.17
MS202434673,2024-01-01,2024-01,CUST03689,Customer_18815,iQOO,12,Hyderabad,Telangana,South,Online,Female,18-25,Debit Card,1,56400.0,2,1128.0,55272.0,5768.63
MS202425861,2024-01-01,2024-01,CUST07300,Customer_05262,Realme,C55,Mysuru,Karnataka,South,Distributor,Male,26-35,Credit Card,4,10800.0,0,0.0,43200.0,6255.35
MS202417308,2024-01-01,2024-01,CUST24337,Customer_07896,OnePlus,OnePlus 12R,Delhi,Delhi,North,Retail Store,Female,18-25,Credit Card,1,40900.0,8,3272.0,37628.0,6750.02
MS202404978,2024-01-01,2024-01,CUST10146,Customer_15334,Xiaomi,Redmi Note 13,Pune,Maharashtra,West,Distributor,Female,46-55,Credit Card,1,15700.0,5,785.0,14915.0,2104.82
MS202407732,2024-01-01,2024-01,CUST23613,Customer_18661,Apple,iPhone 15,Surat,Gujarat,West,Online,Female,26-35,UPI,1,65800.0,5,3290.0,62510.0,12277.3
MS202421945,2024-01-01,2024-01,CUST14172,Customer_18940,Realme,Realme 13 Pro,Coimbatore,Tamil Nadu,South,Retail Store,Male,26-35,EMI,1,27400.0,8,2192.0,25208.0,1279.25
MS202447666,2024-01-01,2024-01,CUST21678,Customer_21678,Xiaomi,Redmi Note 13,Jaipur,Rajasthan,North,Online,Male,26-35,Credit Card,2,14300.0,15,4290.0,24310.0,1542.56
MS202434321,2024-01-01,2024-01,CUST22154,Customer_03188,Nothing,Phone 3a,Indore,Madhya Pradesh,West,Online,Male,26-35,Credit Card,1,29100.0,12,3492.0,25608.0,3561.68
MS202409438,2024-01-01,2024-01,CUST01959,Customer_07325,OnePlus,Nord CE 4,Patna,Bihar,East,Online,Male,46-55,UPI,1,24800.0,8,1984.0,22816.0,3397.75
MS202448399,2024-01-01,2024-01,CUST07063,Customer_03680,Vivo,V40,Noida,Uttar Pradesh,North,Retail Store,Male,36-45,Credit Card,1,33800.0,0,0.0,33800.0,4888.98
MS202418432,2024-01-01,2024-01,CUST14677,Customer_24073,Samsung,Galaxy M35,Bhopal,Madhya Pradesh,West,Retail Store,Male,26-35,Credit Card,2,21200.0,15,6360.0,36040.0,4493.11
MS202436818,2024-01-01,2024-01,CUST07516,Customer_08269,Vivo,V30,Delhi,Delhi,North,Retail Store,Female,36-45,Cash,1,33400.0,5,1670.0,31730.0,5053.59
MS202418979,2024-01-01,2024-01,CUST09802,Customer_12837,OnePlus,Nord CE 3,Noida,Uttar Pradesh,North,Online,Female,36-45,UPI,1,21400.0,0,0.0,21400.0,3289.41
MS202448905,2024-01-01,2024-01,CUST16016,Customer_01567,iQOO,Neo 9 Pro,Delhi,Delhi,North,Retail Store,Female,18-25,Credit Card,1,34300.0,2,686.0,33614.0,4930.94
MS202419505,2024-01-01,2024-01,CUST12795,Customer_06223,iQOO,Neo 9 Pro,Hyderabad,Telangana,South,Online,Male,26-35,Credit Card,2,33000.0,5,3300.0,62700.0,8247.21
MS202433145,2024-01-01,2024-01,CUST01536,Customer_21444,Oppo,F25 Pro,Gurugram,Haryana,North,Retail Store,Male,18-25,EMI,1,23600.0,20,4720.0,18880.0,1601.69
MS202412527,2024-01-01,2024-01,CUST23711,Customer_03778,OnePlus,Nord 4,Bengaluru,Karnataka,South,Retail Store,Male,18-25,Credit Card,2,29700.0,15,8910.0,50490.0,7544.08
MS202404151,2024-01-01,2024-01,CUST13725,Customer_10237,Samsung,Galaxy M15,Chennai,Tamil Nadu,South,Online,Male,18-25,Debit Card,3,16500.0,0,0.0,49500.0,5543.95
MS202408506,2024-01-01,2024-01,CUST12049,Customer_07226,Oppo,Reno 11,Coimbatore,Tamil Nadu,South,Online,Male,26-35,UPI,1,28400.0,8,2272.0,26128.0,3965.97
MS202448260,2024-01-01,2024-01,CUST20157,Customer_17753,Samsung,Galaxy S24,Patna,Bihar,East,Retail Store,Male,46-55,Debit Card,1,75900.0,15,11385.0,64515.0,5751.94
MS202448932,2024-01-01,2024-01,CUST19506,Customer_00866,Motorola,Edge 40 Neo,Patna,Bihar,East,Online,Female,36-45,Debit Card,1,22500.0,10,2250.0,20250.0,2689.03
MS202435903,2024-01-01,2024-01,CUST13188,Customer_08320,Oppo,A59,Indore,Madhya Pradesh,West,Online,Male,36-45,Credit Card,1,14300.0,2,286.0,14014.0,1576.78
MS202416001,2024-01-01,2024-01,CUST16526,Customer_06195,Samsung,Galaxy A25,Hyderabad,Telangana,South,Online,Female,18-25,UPI,1,22900.0,2,458.0,22442.0,2484.13
MS202438386,2024-01-01,2024-01,CUST08962,Customer_18218,iQOO,12,Indore,Madhya Pradesh,West,Online,Male,26-35,EMI,2,53300.0,5,5330.0,101270.0,12922.7
MS202407263,2024-01-01,2024-01,CUST00914,Customer_11342,Vivo,Y18,Kolkata,West Bengal,East,Retail Store,Male,46-55,UPI,1,10500.0,20,2100.0,8400.0,957.82
MS202404776,2024-01-01,2024-01,CUST23798,Customer_01732,iQOO,Neo 9 Pro,Pune,Maharashtra,West,Online,Female,18-25,Credit Card,4,34000.0,2,2720.0,133280.0,15753.49
MS202429208,2024-01-01,2024-01,CUST20271,Customer_03836,Oppo,A59,Indore,Madhya Pradesh,West,Distributor,Female,26-35,UPI,2,15300.0,5,1530.0,29070.0,3059.45
MS202404725,2024-01-01,2024-01,CUST22324,Customer_05598,OnePlus,OnePlus 12R,Bhopal,Madhya Pradesh,West,Online,Female,18-25,Credit Card,2,40800.0,5,4080.0,77520.0,9865.6
MS202414821,2024-01-01,2024-01,CUST01133,Customer_24081,Samsung,Galaxy A15,Patna,Bihar,East,Online,Male,18-25,EMI,1,18800.0,5,940.0,17860.0,2011.42
MS202427240,2024-01-01,2024-01,CUST09313,Customer_20495,Samsung,Galaxy A25,Bengaluru,Karnataka,South,Retail Store,Male,18-25,UPI,1,22700.0,8,1816.0,20884.0,2296.93
MS202430851,2024-01-01,2024-01,CUST05616,Customer_18118,Motorola,Edge 50 Fusion,Delhi,Delhi,North,Online,Male,18-25,Debit Card,1,23600.0,10,2360.0,21240.0,2778.12
MS202404129,2024-01-01,2024-01,CUST01586,Customer_03210,Samsung,Galaxy A15,Coimbatore,Tamil Nadu,South,Distributor,Female,36-45,UPI,1,17600.0,15,2640.0,14960.0,2010.55
MS202413293,2024-01-01,2024-01,CUST07156,Customer_22601,Samsung,Galaxy A15,Hyderabad,Telangana,South,Online,Female,18-25,UPI,1,17800.0,5,890.0,16910.0,2268.58
MS202432019,2024-01-01,2024-01,CUST06318,Customer_16902,Oppo,Reno 12,Mumbai,Maharashtra,West,Distributor,Male,18-25,UPI,2,36900.0,5,3690.0,70110.0,12445.69
MS202449070,2024-01-01,2024-01,CUST15739,Customer_15316,Oppo,Reno 12,Bhubaneswar,Odisha,East,Distributor,Female,26-35,Credit Card,2,34100.0,8,5456.0,62744.0,4814.27
MS202407582,2024-01-01,2024-01,CUST15743,Customer_01574,Samsung,Galaxy A25,Chennai,Tamil Nadu,South,Online,Male,26-35,Debit Card,1,23400.0,0,0.0,23400.0,1761.56
MS202427768,2024-01-01,2024-01,CUST04148,Customer_16574,Xiaomi,Redmi 13C,Gurugram,Haryana,North,Online,Female,26-35,Debit Card,1,9300.0,10,930.0,8370.0,800.83
MS202424303,2024-01-01,2024-01,CUST02721,Customer_16827,OnePlus,Nord CE 4,Indore,Madhya Pradesh,West,Online,Male,26-35,Cash,3,24400.0,12,8784.0,64416.0,5302.86
MS202446024,2024-01-02,2024-01,CUST15127,Customer_13466,Xiaomi,Redmi 13C,Chandigarh,Chandigarh,North,Retail Store,Female,26-35,UPI,1,8500.0,2,170.0,8330.0,546.89
MS202416340,2024-01-02,2024-01,CUST13414,Customer_14037,iQOO,Z9,Mysuru,Karnataka,South,Online,Male,18-25,Credit Card,1,20800.0,0,0.0,20800.0,3599.97
MS202436032,2024-01-02,2024-01,CUST23682,Customer_00921,OnePlus,OnePlus 13R,Pune,Maharashtra,West,Retail Store,Male,36-45,Debit Card,1,43700.0,8,3496.0,40204.0,4878.19
MS202439181,2024-01-02,2024-01,CUST03666,Customer_00393,Apple,iPhone 14,Kolkata,West Bengal,East,Retail Store,Female,26-35,Cash,1,59600.0,15,8940.0,50660.0,9629.9
MS202402911,2024-01-02,2024-01,CUST05589,Customer_04346,Samsung,Galaxy M15,Mumbai,Maharashtra,West,Online,Male,18-25,UPI,1,15400.0,8,1232.0,14168.0,733.24
MS202423357,2024-01-02,2024-01,CUST24434,Customer_01888,Apple,iPhone 15 Pro,Chandigarh,Chandigarh,North,Online,Male,18-25,EMI,1,131200.0,0,0.0,131200.0,33203.75
MS202406754,2024-01-02,2024-01,CUST16455,Customer_12525,Apple,iPhone 13,Indore,Madhya Pradesh,West,Retail Store,Female,18-25,Credit Card,1,52100.0,20,10420.0,41680.0,6157.36
MS202424108,2024-01-02,2024-01,CUST02852,Customer_09074,Samsung,Galaxy M15,Noida,Uttar Pradesh,North,Distributor,Female,18-25,UPI,2,16900.0,8,2704.0,31096.0,3244.94
